,Parent,Code,Accounts for New T&Q,Account_Name,Account Code,State,Zip_Code,Territory,Cluster,Sub-Region,Named_Account,test,Named-Account Override,Region,City,Fortune_Number,Fortune,Industry,Employees,PYSales,Annual_Revenue_(M),Wallet_Share,Sub-Territory,Segment,New Industry,New Segment,Revenue Band
Zywave,Total Accounts,16179,true,Zywave,16179,WI,53226,WI,Midwest Cluster #2,Midwest,false,false,false,USA,Milwaukee,0,false,IT Services,952,98848,8.3,0.11,South,Mid Market,Technology,Mid Market,$0 - $50M
Zynga,Total Accounts,16178,true,Zynga,16178,AZ,85706,CA,Southwest Cluster #2,Southwest,false,true,false,USA,San Francisco,0,false,Media,4566,620574,873.3,0.66,South,Enterprise,Telecom,Enterprise,"$100 - $1,000M"
Zygo Corporation,Total Accounts,16177,true,Zygo Corporation,16177,AZ,85706,AZ,Southwest Cluster #1,Southwest,false,false,false,USA,Tucson,0,false,Manufacturing - Durables,4097,100214,149.4,0.62,East,Enterprise,Manufacturing,Enterprise,"$100 - $1,000M"
Zwicker & Associates,Total Accounts,16176,true,Zwicker & Associates,16176,MA,01810,MA,NE Cluster #3,Northeast,false,false,false,USA,Andover,0,false,Legal Services,3848,16390,61.6,0.99,West,Mid Market,Services,Mid Market,$50 - $100M
Zurich American Insurance Company,Total Accounts,16175,true,Zurich American Insurance Company,16175,IL,60196,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Schaumburg,0,false,Insurance,2025,63415,4342,0.28,East,Enterprise,Insurance,Enterprise,"$1,000 - $5,000M"
Zumiez,Total Accounts,16174,true,Zumiez,16174,WA,98203,WA,Northwest Cluster #2,Northwest,false,false,false,USA,Everett,0,false,Retail,3517,37746,724.3,0.67,West,Mid Market,Consumer,Mid Market,"$100 - $1,000M"
Zumbro Valley Mental Health Center,Total Accounts,16173,true,Zumbro Valley Mental Health Center,16173,MN,55904,MN,Midwest Cluster #1,Midwest,false,false,false,USA,Rochester,0,false,Hospitals / Health Care,678,19726,10.08,0.03,West,Mid Market,Healthcare,Mid Market,$0 - $50M
Zulily,Total Accounts,16172,true,Zulily,16172,WA,98134,WA,Northwest Cluster #2,Northwest,false,true,false,USA,Seattle,0,false,Retail,2371,168953,86.8,0.59,West,Mid Market,Consumer,Mid Market,$50 - $100M
Zuckerman Spaeder,Total Accounts,16171,true,Zuckerman Spaeder,16171,VA,20036,VA,Mid-Atlantic Cluster #2,Mid-Atlantic,false,false,false,USA,Washinton,0,false,Legal Services,3160,77325,9.96,0.72,East,Mid Market,Services,Mid Market,$0 - $50M
ZS Associates,Total Accounts,16170,true,ZS Associates,16170,IL,60201,IL,Midwest Cluster #1,Midwest,false,false,false,USA,Evanston,0,false,Services,4873,141809,200,0.21,North,Mid Market,Services,Mid Market,"$100 - $1,000M"
ZRT Laboratory,Total Accounts,16169,true,ZRT Laboratory,16169,OR,97008,OR,Northwest Cluster #2,Northwest,false,false,false,USA,Beaverton,0,false,Medical Devices,4645,64612,8.2,0.66,East,Mid Market,Healthcare,Mid Market,$0 - $50M
Zotos International,Total Accounts,16168,true,Zotos International,16168,CT,06820,CT,NE Cluster #2,Northeast,false,false,false,USA,Darien,0,false,Consumer Products,3706,147585,16.5,0.76,East,Mid Market,Consumer,Mid Market,$0 - $50M
Zoosk,Total Accounts,16167,true,Zoosk,16167,CA,94103,CA,Southwest Cluster #2,Southwest,false,false,false,USA,San Francisco,0,false,Services,2614,21632,6.1,0.47,East,Mid Market,Services,Mid Market,$0 - $50M
