,Parent,Code,Zips,Zips Item,SubTerritory,Patch,Territory Parent,Parent Reassign,ParentCode
15001,PA,15001,15001,15001,South,Cold,PA,PA,US-PA
15009,PA,15009,15009,15009,East,Cold,PA,PA,US-PA
15017,PA,15017,15017,15017,West,Cold,PA,PA,US-PA
15022,PA,15022,15022,15022,South,Cold,PA,PA,US-PA
15025,PA,15025,15025,15025,East,Cold,PA,PA,US-PA
15042,PA,15042,15042,15042,West,Cold,PA,PA,US-PA
15045,PA,15045,15045,15045,North,Cold,PA,PA,US-PA
15055,PA,15055,15055,15055,South,Cold,PA,PA,US-PA
15056,PA,15056,15056,15056,East,Cold,PA,PA,US-PA
15062,PA,15062,15062,15062,West,Cold,PA,PA,US-PA
15068,PA,15068,15068,15068,North,Cold,PA,PA,US-PA
15071,PA,15071,15071,15071,South,Cold,PA,PA,US-PA
15086,PA,15086,15086,15086,East,Cold,PA,PA,US-PA
15090,PA,15090,15090,15090,South,Cold,PA,PA,US-PA
15106,PA,15106,15106,15106,West,Cold,PA,PA,US-PA
15108,PA,15108,15108,15108,North,Warm,PA,PA,US-PA
15120,PA,15120,15120,15120,North,Cold,PA,PA,US-PA
15131,PA,15131,15131,15131,South,Cold,PA,PA,US-PA
15132,PA,15132,15132,15132,East,Cold,PA,PA,US-PA
15136,PA,15136,15136,15136,West,Cold,PA,PA,US-PA
15139,PA,15139,15139,15139,North,Cold,PA,PA,US-PA
15143,PA,15143,15143,15143,South,Cold,PA,PA,US-PA
15146,PA,15146,15146,15146,East,Cold,PA,PA,US-PA
15148,PA,15148,15148,15148,South,Cold,PA,PA,US-PA
15201,PA,15201,15201,15201,East,Cold,PA,PA,US-PA
15203,PA,15203,15203,15203,North,Cold,PA,PA,US-PA
15205,PA,15205,15205,15205,North,Cold,PA,PA,US-PA
15206,PA,15206,15206,15206,West,Cold,PA,PA,US-PA
15212,PA,15212,15212,15212,South,Warm,PA,PA,US-PA
15213,PA,15213,15213,15213,North,Cold,PA,PA,US-PA
15219,PA,15219,15219,15219,West,Warm,PA,PA,US-PA
15220,PA,15220,15220,15220,East,Cold,PA,PA,US-PA
15221,PA,15221,15221,15221,West,Cold,PA,PA,US-PA
15222,PA,15222,15222,15222,East,Hot,PA,PA,US-PA
15229,PA,15229,15229,15229,East,Cold,PA,PA,US-PA
15230,PA,15230,15230,15230,West,Cold,PA,PA,US-PA
15235,PA,15235,15235,15235,North,Cold,PA,PA,US-PA
15237,PA,15237,15237,15237,East,Cold,PA,PA,US-PA
15238,PA,15238,15238,15238,North,Cold,PA,PA,US-PA
15239,PA,15239,15239,15239,East,Cold,PA,PA,US-PA
15243,PA,15243,15243,15243,West,Cold,PA,PA,US-PA
15260,PA,15260,15260,15260,North,Cold,PA,PA,US-PA
15272,PA,15272,15272,15272,South,Cold,PA,PA,US-PA
15275,PA,15275,15275,15275,East,Cold,PA,PA,US-PA
15276,PA,15276,15276,15276,East,Cold,PA,PA,US-PA
15282,PA,15282,15282,15282,West,Cold,PA,PA,US-PA
15301,PA,15301,15301,15301,North,Cold,PA,PA,US-PA
15317,PA,15317,15317,15317,East,Warm,PA,PA,US-PA
15330,PA,15330,15330,15330,North,Cold,PA,PA,US-PA
15425,PA,15425,15425,15425,South,Cold,PA,PA,US-PA
15437,PA,15437,15437,15437,East,Cold,PA,PA,US-PA
15501,PA,15501,15501,15501,West,Cold,PA,PA,US-PA
15563,PA,15563,15563,15563,South,Cold,PA,PA,US-PA
15601,PA,15601,15601,15601,East,Cold,PA,PA,US-PA
15613,PA,15613,15613,15613,South,Cold,PA,PA,US-PA
15642,PA,15642,15642,15642,East,Cold,PA,PA,US-PA
15650,PA,15650,15650,15650,West,Cold,PA,PA,US-PA
15672,PA,15672,15672,15672,West,Cold,PA,PA,US-PA
15697,PA,15697,15697,15697,North,Cold,PA,PA,US-PA
15701,PA,15701,15701,15701,East,Cold,PA,PA,US-PA
15801,PA,15801,15801,15801,South,Cold,PA,PA,US-PA
15824,PA,15824,15824,15824,East,Cold,PA,PA,US-PA
15851,PA,15851,15851,15851,West,Cold,PA,PA,US-PA
15857,PA,15857,15857,15857,North,Cold,PA,PA,US-PA
15901,PA,15901,15901,15901,East,Cold,PA,PA,US-PA
15904,PA,15904,15904,15904,West,Cold,PA,PA,US-PA
15905,PA,15905,15905,15905,West,Cold,PA,PA,US-PA
15906,PA,15906,15906,15906,North,Cold,PA,PA,US-PA
15963,PA,15963,15963,15963,South,Cold,PA,PA,US-PA
16001,PA,16001,16001,16001,East,Cold,PA,PA,US-PA
16023,PA,16023,16023,16023,South,Cold,PA,PA,US-PA
16024,PA,16024,16024,16024,West,Cold,PA,PA,US-PA
16046,PA,16046,16046,16046,North,Cold,PA,PA,US-PA
16051,PA,16051,16051,16051,South,Cold,PA,PA,US-PA
16056,PA,16056,16056,16056,East,Cold,PA,PA,US-PA
16057,PA,16057,16057,16057,North,Cold,PA,PA,US-PA
16066,PA,16066,16066,16066,South,Cold,PA,PA,US-PA
16101,PA,16101,16101,16101,North,Cold,PA,PA,US-PA
16105,PA,16105,16105,16105,South,Cold,PA,PA,US-PA
16117,PA,16117,16117,16117,East,Cold,PA,PA,US-PA
16125,PA,16125,16125,16125,North,Cold,PA,PA,US-PA
16127,PA,16127,16127,16127,East,Cold,PA,PA,US-PA
16148,PA,16148,16148,16148,South,Cold,PA,PA,US-PA
16154,PA,16154,16154,16154,North,Cold,PA,PA,US-PA
16201,PA,16201,16201,16201,South,Cold,PA,PA,US-PA
16214,PA,16214,16214,16214,West,Cold,PA,PA,US-PA
16229,PA,16229,16229,16229,South,Cold,PA,PA,US-PA
16254,PA,16254,16254,16254,East,Cold,PA,PA,US-PA
16323,PA,16323,16323,16323,West,Cold,PA,PA,US-PA
16335,PA,16335,16335,16335,North,Cold,PA,PA,US-PA
16346,PA,16346,16346,16346,West,Cold,PA,PA,US-PA
16354,PA,16354,16354,16354,North,Cold,PA,PA,US-PA
16365,PA,16365,16365,16365,South,Cold,PA,PA,US-PA
